gene	Gene.ontology.IDs
ENSGACT00000022979.1	GO:0002639;GO:0002726;GO:0002821;GO:0005634;GO:0005737;GO:0030890;GO:0032729;GO:0032733;GO:0032743;GO:0032753;GO:0032760;GO:0042102;GO:0043372;GO:0046622;GO:0048873
ENSGACT00000022981.1	GO:0002639;GO:0002726;GO:0002821;GO:0005634;GO:0005737;GO:0030890;GO:0032729;GO:0032733;GO:0032743;GO:0032753;GO:0032760;GO:0042102;GO:0043372;GO:0046622;GO:0048873
ENSGACT00000024272.1	GO:0005634;GO:0005829;GO:0008134;GO:0008270;GO:0019904;GO:0032897;GO:0045087;GO:0045892;GO:0046597;GO:0046598;GO:0050768;GO:0051607;GO:0061630;GO:1902187
ENSGACT00000026383.1	GO:0005525;GO:0005634;GO:0005829;GO:0007049
ENSGACT00000020501.1	GO:0070475;GO:0071424
ENSGACT00000026881.1	GO:0005886;GO:0016021
ENSGACT00000018136.1	GO:0005886;GO:0016021
ENSGACT00000001789.1	GO:0003677;GO:0005634;GO:0006355;GO:0046872
ENSGACT00000001787.1	GO:0003677;GO:0005634;GO:0006355;GO:0046872
ENSGACT00000020895.1	GO:0003677;GO:0005634;GO:0006355;GO:0046872
ENSGACT00000012455.1	GO:0005788;GO:0006493;GO:0016262
ENSGACT00000012457.1	GO:0005788;GO:0006493;GO:0016262
ENSGACT00000013707.1	GO:0005654;GO:0005829
ENSGACT00000013701.1	GO:0005654;GO:0005829
ENSGACT00000012998.1	GO:0005654;GO:0006397;GO:0008380
ENSGACT00000011302.1	GO:0000785;GO:0004252;GO:0005634;GO:0005758;GO:0005829;GO:0005856;GO:0007005;GO:0007628;GO:0008630;GO:0009898;GO:0010822;GO:0030900;GO:0031966;GO:0034599;GO:0034605;GO:0035458;GO:0035631;GO:0040014;GO:0042802;GO:0044257;GO:0048666;GO:0070207;GO:0071300;GO:0071363;GO:1904924;GO:1905370;GO:2001241;GO:2001269
ENSGACT00000026574.1	GO:0016021
ENSGACT00000017935.1	GO:0005737;GO:0005813;GO:0017137;GO:0031175;GO:0034452;GO:0047496;GO:0055107
ENSGACT00000017932.1	GO:0005737;GO:0005813;GO:0017137;GO:0031175;GO:0034452;GO:0047496;GO:0055107
ENSGACT00000002117.1	GO:0005737;GO:0005813;GO:0017137;GO:0031175;GO:0034452;GO:0047496;GO:0055107
ENSGACT00000012019.1	GO:0005814;GO:0060271
ENSGACT00000002277.1	GO:0005886;GO:0006811;GO:0016021
ENSGACT00000025529.1	GO:0005789;GO:0006508;GO:0015031;GO:0016021;GO:0019838;GO:0042058;GO:0050708;GO:0050709
ENSGACT00000005023.1	GO:0016021
ENSGACT00000021043.1	GO:0005789;GO:0016021
ENSGACT00000020839.1	GO:0004370;GO:0005524;GO:0005737;GO:0005739;GO:0006071;GO:0006641;GO:0016310;GO:0019563;GO:0046167
