"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Otu00071" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_unclassified" "Alphaproteobacteria_unclassified" "Alphaproteobacteria_unclassified" ""
"Otu00072" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Mycobacteriaceae" "Mycobacterium" ""
"Otu00073" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00074" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" ""
"Otu00075" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomyces" ""
"Otu00076" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetales_unclassified" "Actinomycetales_unclassified" ""
"Otu00077" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridiaceae_1_unclassified" ""
"Otu00078" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00079" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Undibacterium" ""
"Otu00080" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Phyllobacterium" ""
"Otu00081" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00082" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Proteobacteria_unclassified" ""
"Otu00083" "Bacteria" "Chloroflexi" "Caldilineae" "Caldilineales" "Caldilineaceae" "Caldilineaceae_unclassified" ""
"Otu00084" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00085" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Gemmobacter" ""
"Otu00086" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetales_unclassified" "Actinomycetales_unclassified" ""
"Otu00087" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Planococcaceae_unclassified" ""
"Otu00088" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales_unclassified" "Bacillales_unclassified" ""
"Otu00089" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Xanthomonadaceae_unclassified" ""
"Otu00090" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" ""
"Otu00091" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Microbacteriaceae" "Agromyces" ""
"Otu00092" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Enhydrobacter" ""
